Year,PM25_obs,clean_fuels_pct,air_mort_rate,biomass_proxy,year_trend
2010,20.93901,3.7,195.609,96.3,0
2011,30.9,4.3,191.703,95.7,1
2012,31.3,5.3,189.782,94.7,2
2013,30.3,6.5,187.201,93.5,3
2014,28.6,8.05,180.363,91.95,4
2015,26.8,9.8,176.047,90.2,5
2016,25.2,12.4,174.976,87.6,6
2017,25.6,15.4,168.931,84.6,7
2018,19.17556,19.1,165.322,80.9,8
2019,19.79916,23.8,161.736,76.2,9
